번호,시간,회사명,종목코드,공시제목,제출인,접수일자
205,13:39,펌텍코리아,251970,정기주주총회결과,펌텍코리아,2020-03-27
206,13:39,이화공영,001840,[정정]단일판매ㆍ공급계약체결,이화공영,2020-03-27
207,13:39,대한과학,131220,정기주주총회결과,대한과학,2020-03-27
208,13:39,와이엔텍,067900,대표이사변경,와이엔텍,2020-03-27
209,13:39,본느,226340,정기주주총회결과,본느,2020-03-27
210,13:39,대신밸런스제8호스팩,336570,사업보고서(일반법인),대신밸런스제8호기업인수목적,2020-03-27
211,13:39,유니온커뮤니티,203450,정기주주총회결과,유니온커뮤니티,2020-03-27
212,13:41,디아이티,110990,[연결포함]사업보고서(일반법인),디아이티,2020-03-27
213,13:42,라온피플,300120,정기주주총회결과,라온피플,2020-03-27
214,13:42,케이프이에스제4호,347140,주식등의대량보유상황보고서(일반),이에스인베스터,2020-03-27
215,13:42,매일홀딩스,005990,정기주주총회결과,매일홀딩스,2020-03-27
216,13:44,에스티오,098660,사외이사의선임ㆍ해임또는중도퇴임에관한신고,㈜에스티오,2020-03-27
217,13:44,와이디온라인,052770,[정정]매출액 또는 손익구조 30%(대규모법인은 15%)이상 변동,와이디온라인,2020-03-27
218,13:45,디케이앤디,263020,정기주주총회결과,디케이앤디,2020-03-27
219,13:45,케이엔제이,272110,정기주주총회결과,케이엔제이,2020-03-27
220,13:45,홈센타홀딩스,060560,정기주주총회결과,홈센타홀딩스,2020-03-27
221,13:45,솔루에타,154040,정기주주총회결과[정],솔루에타,2020-03-27
222,13:45,보광산업,225530,정기주주총회결과,보광산업,2020-03-27
223,13:45,엠아이텍,179290,[연결포함]사업보고서(일반법인),엠아이텍,2020-03-27
224,13:46,와이디온라인,052770,기타 경영사항(자율공시)(회생채권조사확정재판에 대한 이의의 소),와이디온라인,2020-03-27
225,13:47,해덕파워웨이,102210,정기주주총회결과,해덕파워웨이,2020-03-27
226,13:47,현우산업,092300,[연결포함]사업보고서(일반법인),현우산업,2020-03-27
227,13:47,이퓨쳐,134060,정기주주총회결과,이퓨쳐,2020-03-27
228,13:47,유니슨,018000,정기주주총회결과,유니슨,2020-03-27
229,13:48,와이디온라인,052770,정기주주총회결과,와이디온라인,2020-03-27
230,13:48,케이엔더블유,105330,사외이사의선임ㆍ해임또는중도퇴임에관한신고,케이엔더블유,2020-03-27
231,13:49,청담러닝,096240,임원ㆍ주요주주특정증권등소유상황보고서,이동훈,2020-03-27
232,13:50,매커스,093520,[연결포함]사업보고서(일반법인),매커스,2020-03-27
233,13:50,케이엔더블유,105330,사외이사의선임ㆍ해임또는중도퇴임에관한신고,케이엔더블유,2020-03-27
234,13:50,메가스터디,072870,정기주주총회결과,메가스터디,2020-03-27
235,13:50,유니슨,018000,사외이사의선임ㆍ해임또는중도퇴임에관한신고,유니슨,2020-03-27
236,13:51,메이슨캐피탈,021880,주식등의대량보유상황보고서(일반),안원덕,2020-03-27
237,13:51,한창산업,079170,사업보고서(일반법인),한창산업,2020-03-27
238,13:52,앤씨앤,092600,정기주주총회결과,앤씨앤,2020-03-27
239,13:52,엔에스,217820,정기주주총회결과,엔에스,2020-03-27
240,13:52,솔루에타,154040,대표이사변경,솔루에타,2020-03-27
241,13:52,코메론,049430,정기주주총회결과,코메론,2020-03-27
242,13:52,메가스터디,072870,대표이사변경,메가스터디,2020-03-27
243,13:52,우수AMS,066590,정기주주총회결과,우수AMS,2020-03-27
244,13:52,서플러스글로벌,140070,사외이사의선임ㆍ해임또는중도퇴임에관한신고,서플러스글로벌,2020-03-27
245,13:52,글로본,019660,정기주주총회결과,글로본,2020-03-27
246,13:53,SBI인베스트먼트,019550,정기주주총회결과,에스비아이인베스트먼트,2020-03-27
247,13:53,엘앤씨바이오,290650,기업설명회(IR) 개최,엘앤씨바이오,2020-03-27
248,13:53,리노공업,058470,정기주주총회결과,리노공업,2020-03-27
249,13:53,모트렉스,118990,정기주주총회결과,모트렉스,2020-03-27
250,13:53,와이디온라인,052770,상호변경안내,와이디온라인,2020-03-27
251,13:56,매일홀딩스,005990,사외이사의선임ㆍ해임또는중도퇴임에관한신고,매일홀딩스,2020-03-27
252,13:56,EDGC,245620,정기주주총회결과,이원다이애그노믹스,2020-03-27
253,13:56,메가스터디,072870,사외이사의선임ㆍ해임또는중도퇴임에관한신고,메가스터디,2020-03-27
254,13:56,안트로젠,065660,사업보고서(일반법인),안트로젠,2020-03-27
255,13:57,이글루시큐리티,067920,정기주주총회결과,이글루시큐리티,2020-03-27
256,13:57,알티캐스트,085810,주식등의대량보유상황보고서(일반)[정],휴맥스,2020-03-27
257,13:58,우리기술투자,041190,사외이사의선임ㆍ해임또는중도퇴임에관한신고,우리기술투자,2020-03-27
258,13:59,우리기술투자,041190,정기주주총회결과,우리기술투자,2020-03-27
259,13:59,매일홀딩스,005990,사외이사의선임ㆍ해임또는중도퇴임에관한신고,매일홀딩스,2020-03-27
260,13:59,선데이토즈,123420,정기주주총회결과,선데이토즈,2020-03-27
261,14:00,CNH,023460,사외이사의선임ㆍ해임또는중도퇴임에관한신고,씨앤에이치,2020-03-27
262,14:00,제이엠아이,033050,정기주주총회결과,제이엠아이,2020-03-27
263,14:00,이지웰페어,090850,정기주주총회결과,이지웰페어,2020-03-27
264,14:00,EDGC,245620,[정정]주식매수선택권부여에관한신고,이원다이애그노믹스,2020-03-27
265,14:01,린드먼아시아,277070,[연결포함]사업보고서(일반법인),린드먼아시아인베스트먼트,2020-03-27
266,14:02,유니테크노,241690,정기주주총회결과,유니테크노,2020-03-27
267,14:02,드림어스컴퍼니,060570,정기주주총회결과,드림어스컴퍼니,2020-03-27
268,14:02,드림어스컴퍼니,060570,[정정]주식매수선택권부여에관한신고,드림어스컴퍼니,2020-03-27
269,14:02,성창오토텍,080470,정기주주총회결과,성창오토텍,2020-03-27
270,14:02,노랑풍선,104620,정기주주총회결과,노랑풍선,2020-03-27
271,14:03,EDGC,245620,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이원다이애그노믹스,2020-03-27
272,14:03,대림제지,017650,정기주주총회결과,대림제지,2020-03-27
273,14:03,선데이토즈,123420,사외이사의선임ㆍ해임또는중도퇴임에관한신고,선데이토즈,2020-03-27
274,14:04,EDGC,245620,사외이사의선임ㆍ해임또는중도퇴임에관한신고,이원다이애그노믹스,2020-03-27
275,14:04,중앙에너비스,000440,[연결포함]사업보고서(일반법인),중앙에너비스,2020-03-27
276,14:05,하이록코리아,013030,임원ㆍ주요주주특정증권등소유상황보고서,하이록단조,2020-03-27
277,14:05,이에스브이,223310,정기주주총회결과,이에스브이,2020-03-27
278,14:05,와이엔텍,067900,사외이사의선임ㆍ해임또는중도퇴임에관한신고,와이엔텍,2020-03-27
279,14:06,선데이토즈,123420,사외이사의선임ㆍ해임또는중도퇴임에관한신고,선데이토즈,2020-03-27
280,14:06,EDGC,245620,[연결포함]사업보고서(일반법인),이원다이애그노믹스,2020-03-27
281,14:06,시공테크,020710,임원ㆍ주요주주특정증권등소유상황보고서,박기석,2020-03-27
282,14:06,우리산업,215360,정기주주총회결과,우리산업,2020-03-27
283,14:07,이지웰페어,090850,상호변경안내,이지웰페어,2020-03-27
284,14:07,노랑풍선,104620,사외이사의선임ㆍ해임또는중도퇴임에관한신고,노랑풍선,2020-03-27
285,14:07,이엠코리아,095190,전환가액의조정(제4회차),이엠코리아,2020-03-27
286,14:08,영우디에스피,143540,정기주주총회결과,영우디에스피,2020-03-27
287,14:08,우리산업홀딩스,072470,정기주주총회결과,우리산업홀딩스,2020-03-27
288,14:09,노랑풍선,104620,사외이사의선임ㆍ해임또는중도퇴임에관한신고,노랑풍선,2020-03-27
289,14:09,세보엠이씨,011560,정기주주총회결과,세보엠이씨,2020-03-27
290,14:09,삼화네트웍스,046390,정기주주총회결과,삼화네트웍스,2020-03-27
291,14:10,선데이토즈,123420,사외이사의선임ㆍ해임또는중도퇴임에관한신고,선데이토즈,2020-03-27
292,14:10,라온피플,300120,사외이사의선임ㆍ해임또는중도퇴임에관한신고,라온피플,2020-03-27
293,14:10,엠벤처투자,019590,[연결포함]사업보고서(일반법인),엠벤처투자,2020-03-27
294,14:10,알티캐스트,085810,[정정]주식등의대량보유상황보고서(일반),휴맥스,2020-03-27
295,14:11,CNH,023460,정기주주총회결과,씨앤에이치,2020-03-27
296,14:11,아이센스,099190,정기주주총회결과,아이센스,2020-03-27
297,14:11,이오테크닉스,039030,정기주주총회결과(제26기 정기주주총회 결과),이오테크닉스,2020-03-27
298,14:11,신성델타테크,065350,정기주주총회결과,신성델타테크,2020-03-27
299,14:11,파수닷컴,150900,정기주주총회결과,파수닷컴,2020-03-27
300,14:11,아이센스,099190,주식매수선택권부여에관한신고,아이센스,2020-03-27
301,14:11,에스와이,109610,정기주주총회결과,에스와이,2020-03-27
302,14:12,코미코,183300,정기주주총회결과,코미코,2020-03-27
303,14:12,퓨쳐켐,220100,[연결포함]사업보고서(일반법인),퓨쳐켐,2020-03-27
304,14:13,예스24,053280,임원ㆍ주요주주특정증권등소유상황보고서,김석환,2020-03-27
305,14:13,대원,007680,정기주주총회결과,대원,2020-03-27
306,14:13,네오셈,253590,정기주주총회결과,네오셈,2020-03-27
